cost_current,cost_best_sofar,x_best_sofar,temperature
4.484231711235957,4.484231711235957,,182.87891512554657
2.9161804181899678,4.484231711235957,{[ck3-ck1-ck2];[ck1-ck3-ck2];[ck3-ck1-ck2]}||,182.87891512554657
5.999168193384229,2.9161804181899678,{[ck2-ck1-ck3];[ck3-ck1-ck2];[ck2-ck1-ck3]}||,182.87891512554657
38.987934791685504,2.9161804181899678,{[ck2-ck1-ck3];[ck3-ck1-ck2];[ck2-ck1-ck3]}||,182.87891512554657
2.8231345569125037,2.9161804181899678,{[ck2-ck1-ck3];[ck3-ck1-ck2];[ck2-ck1-ck3]}||,182.87891512554657
4.1655657851410295,2.8231345569125037,{[ck2-ck3-ck1];[ck1-ck3-ck2];[ck1-ck2-ck3]}||,182.87891512554657
2.8231345569125037,2.8231345569125037,{[ck2-ck3-ck1];[ck1-ck3-ck2];[ck1-ck2-ck3]}||,182.87891512554657
2.8231345569125037,2.8231345569125037,{[ck2-ck3-ck1];[ck1-ck3-ck2];[ck1-ck2-ck3]}||{[ck1-ck2-ck3];[ck3-ck2-ck1];[ck3-ck1-ck2]}||,182.87891512554657
2.9199938025180967,2.8231345569125037,{[ck2-ck3-ck1];[ck1-ck3-ck2];[ck1-ck2-ck3]}||{[ck1-ck2-ck3];[ck3-ck2-ck1];[ck3-ck1-ck2]}||{[ck1-ck3-ck2];[ck1-ck2-ck3];[ck3-ck2-ck1]}||,182.87891512554657
2.8231345569125037,2.8231345569125037,{[ck2-ck3-ck1];[ck1-ck3-ck2];[ck1-ck2-ck3]}||{[ck1-ck2-ck3];[ck3-ck2-ck1];[ck3-ck1-ck2]}||{[ck1-ck3-ck2];[ck1-ck2-ck3];[ck3-ck2-ck1]}||,182.87891512554657
2.8231345569125037,2.8231345569125037,{[ck2-ck3-ck1];[ck1-ck3-ck2];[ck1-ck2-ck3]}||{[ck1-ck2-ck3];[ck3-ck2-ck1];[ck3-ck1-ck2]}||{[ck1-ck3-ck2];[ck1-ck2-ck3];[ck3-ck2-ck1]}||{[ck1-ck3-ck2];[ck2-ck1-ck3];[ck2-ck1-ck3]}||,182.87891512554657
5.509586805534015,2.8231345569125037,{[ck2-ck3-ck1];[ck1-ck3-ck2];[ck1-ck2-ck3]}||{[ck1-ck2-ck3];[ck3-ck2-ck1];[ck3-ck1-ck2]}||{[ck1-ck3-ck2];[ck1-ck2-ck3];[ck3-ck2-ck1]}||{[ck1-ck3-ck2];[ck2-ck1-ck3];[ck2-ck1-ck3]}||{[ck3-ck1-ck2];[ck1-ck2-ck3];[ck2-ck3-ck1]}||,182.87891512554657
2.8231345569125037,2.8231345569125037,{[ck2-ck3-ck1];[ck1-ck3-ck2];[ck1-ck2-ck3]}||{[ck1-ck2-ck3];[ck3-ck2-ck1];[ck3-ck1-ck2]}||{[ck1-ck3-ck2];[ck1-ck2-ck3];[ck3-ck2-ck1]}||{[ck1-ck3-ck2];[ck2-ck1-ck3];[ck2-ck1-ck3]}||{[ck3-ck1-ck2];[ck1-ck2-ck3];[ck2-ck3-ck1]}||,182.87891512554657
5.5113308938326915,2.8231345569125037,{[ck2-ck3-ck1];[ck1-ck3-ck2];[ck1-ck2-ck3]}||{[ck1-ck2-ck3];[ck3-ck2-ck1];[ck3-ck1-ck2]}||{[ck1-ck3-ck2];[ck1-ck2-ck3];[ck3-ck2-ck1]}||{[ck1-ck3-ck2];[ck2-ck1-ck3];[ck2-ck1-ck3]}||{[ck3-ck1-ck2];[ck1-ck2-ck3];[ck2-ck3-ck1]}||,182.87891512554657
